Compania,Seccion_CIIU,Clasificacion_Tamaño,Año,Razon_Liquidez,Prueba_Acida,Razon_Efectivo,Deuda_Activos_pct,Deuda_Capital_pct,Deuda_Neta_EBITDA,ZScore_Altman,ROA_pct,ROE_pct,Margen_Operacional_pct,Margen_Neto_pct,Margen_EBITDA_pct,Activos_Totales,Pasivos_Totales,Patrimonio_Total,Ingresos_Operativos,Utilidad_Neta,EBIT,Capital_Trabajo,Contrib_X1_2021,Contrib_X2_2021,Contrib_X3_2021,Contrib_X4_2021,Zona_ZScore,Cluster_Label,Contrib_X1_2022,Contrib_X2_2022,Contrib_X3_2022,Contrib_X4_2022,Contrib_X1_2023,Contrib_X2_2023,Contrib_X3_2023,Contrib_X4_2023,Contrib_X1_2024,Contrib_X2_2024,Contrib_X3_2024,Contrib_X4_2024
Plasticos Rimax Sas,C – Industria manufacturera,Grande,2023,1.8800,1.1900,0.3700,4.9900,8.7500,-0.1600,5.1200,11.3400,19.8700,19.3400,11.0600,26.8300,260422.5300,111842.5600,148579.9600,269715.5800,29528.5600,51651.0200,56979.5300,,,,,Zona Segura,Alto desempeño,,,,,1.4353,1.1019,1.3328,1.3949,,,,
Saitemp S.A.,N – Actividades de servicios administrativos,Grande,2023,1.5200,1.5200,0.2800,0.0000,0.0000,-1.6100,3.4800,4.6600,19.7800,0.8500,0.4500,1.0000,21953.7100,16779.4200,5174.2900,228308.4500,1023.7500,1939.7900,6696.3700,,,,,Zona Segura,Perfil moderado,,,,,2.0009,0.5580,0.5938,0.3238,,,,
Soletanche Bachy Colombia Sas,F – Construcción,Grande,2023,1.0400,0.8900,0.0700,7.5000,24.4100,0.3200,0.6700,-0.2200,-0.7300,3.0800,-0.2000,7.6400,298064.3000,206491.2700,91573.0300,355760.7200,-664.3800,10491.3900,7784.3900,,,,,Zona Quiebra,Perfil moderado,,,,,0.1713,0.0227,0.2365,0.4656,,,,
Caribe Supermercados S.A.S.,G – Comercio al por mayor y menor,Grande,2023,1.0200,0.3700,0.2100,6.1700,22.3800,0.0200,1.3300,2.5800,9.3600,2.4400,0.9100,4.8600,93215.5800,67519.8400,25695.7500,268774.8900,2405.7700,6488.8900,565.0000,,,,,Zona Alerta,Perfil moderado,,,,,0.0398,0.6177,0.4678,0.3996,,,,
Inversiones Merca Z S.A.,G – Comercio al por mayor y menor,Grande,2023,0.9600,0.3700,0.2800,16.1900,41.6400,0.0900,1.7600,6.4700,16.6400,3.2200,1.4800,4.4400,61527.6800,37604.2900,23923.3900,268833.1000,3981.9600,8636.0600,-1238.9200,,,,,Zona Alerta,Perfil moderado,,,,,-0.1321,0.5868,0.9432,0.6680,,,,
Eli Lilly Interamerica Inc,G – Comercio al por mayor y menor,Grande,2023,5.9400,4.8700,1.6600,0.0000,0.0000,-3.1100,11.3600,4.4800,5.4200,6.2500,3.4200,6.5000,173423.4600,29900.0800,143523.3700,227790.2400,7778.7700,14227.9000,136895.9000,,,,,Zona Segura,Alto desempeño,,,,,5.1783,0.5456,0.5513,5.0401,,,,
Casahidalgo Constructores S.A.S.,F – Construcción,Grande,2023,0.8900,0.7900,0.0400,24.2800,316.5600,2.9000,-0.4500,1.1100,14.4700,0.4100,1.4600,10.1700,317500.2500,293150.5700,24349.6800,243547.4000,3524.1400,987.4200,-18942.1200,,,,,Zona Quiebra,Perfil moderado,,,,,-0.3914,-0.2516,0.0209,0.0872,,,,
Asociacion Probienestar De La Familia Colombiana - Profamilia,Q – Salud y servicios sociales,Grande,2023,1.8100,1.3300,0.4500,0.0000,0.0000,6.1800,4.4600,4.7700,7.3300,-2.9300,3.3500,-1.7300,176070.0000,61481.4400,114588.0000,250428.0000,8398.7600,-7337.5800,47898.8800,,,,,Zona Segura,Perfil moderado,,,,,1.7846,0.4028,-0.2801,1.9570,,,,
Colorquimica S.A.S.,C – Industria manufacturera,Grande,2023,2.0100,1.0900,0.0900,11.5200,16.3800,0.7800,6.1400,5.2900,7.5300,11.5600,5.6000,12.9600,288553.8500,85689.3900,202864.4600,278187.7200,15275.0800,31539.6200,66888.5200,,,,,Zona Segura,Perfil moderado,,,,,1.5206,1.6077,0.7345,2.4858,,,,
Zx Ventures Colombia S.A.S.,G – Comercio al por mayor y menor,Grande,2023,1.2000,0.9200,0.1600,22.2100,-488.6400,-12.3200,-4.2100,-23.4100,514.9800,-12.3200,-17.2100,-0.8400,177691.6800,185769.4900,-8077.8100,239076.6400,-41598.7800,-29792.4900,17137.8600,,,,,Zona Quiebra,Perfil moderado,,,,,0.6327,-3.2042,-1.1267,-0.0457,,,,
Perficient Colombia S.A.S.,G – Comercio al por mayor y menor,Grande,2023,2.3000,2.3000,0.3200,2.5500,3.7000,-0.2100,8.6200,15.3600,22.2500,9.3300,5.7400,12.2000,102767.0600,31801.2800,70965.7800,283673.7600,15789.9000,25651.5400,39957.0300,,,,,Zona Segura,Alto desempeño,,,,,2.5506,2.0514,1.6774,2.3431,,,,
Inacar S.A.,F – Construcción,Grande,2023,2.4000,0.8500,0.1000,18.9700,32.5000,1.6100,5.6800,5.7800,9.9000,16.3000,10.0500,16.8900,379846.9600,158143.8700,221703.1000,222772.8800,21949.4200,35583.7700,175659.9500,,,,,Zona Segura,Perfil moderado,,,,,3.0337,0.7396,0.6295,1.4720,,,,
C.I. Sociedad Industrial De Grasas Vegetales Sigra S.A.,C – Industria manufacturera,Grande,2023,1.5400,1.1000,0.5000,11.7400,25.1400,-0.3200,3.9400,4.5800,9.8200,7.1000,3.3400,8.6500,201307.8600,107276.1000,94031.7600,277949.5600,9228.9000,19614.8100,33926.7300,,,,,Zona Segura,Perfil moderado,,,,,1.1056,1.4305,0.6548,0.9204,,,,
Organizacion Clinica Bonnadona-Prevenir S.A.S,Q – Salud y servicios sociales,Grande,2023,0.8600,0.7900,0.0400,19.7100,59.7300,0.9100,0.4800,8.4300,25.5400,17.7400,9.2600,20.5600,257822.0000,172752.0000,85070.1500,234584.0000,21727.5800,41619.4200,-23643.4700,,,,,Zona Quiebra,Perfil moderado,,,,,-0.6016,0.0000,1.0848,0.5171,,,,
Cinemark Colombia S A S,J – Información y comunicaciones,Grande,2023,1.2700,1.1700,0.8300,0.0000,0.0000,-0.5800,1.3000,18.0800,61.9600,17.1500,17.3300,28.6200,249155.3000,176430.1900,72725.1100,279828.1400,45057.4500,44593.6600,14045.5800,,,,,Zona Alerta,Perfil moderado,,,,,0.3698,-0.7133,1.2027,0.4328,,,,
Fabrica De Bolsas De Papel Unibol S.A.S.,C – Industria manufacturera,Grande,2023,1.4600,0.7600,0.0600,36.2200,75.5400,6.0100,2.4500,2.5900,5.4000,3.7500,2.5600,5.6500,251299.2200,130783.9900,120515.2400,264097.5900,6507.8300,9527.6800,39624.5000,,,,,Zona Alerta,Perfil moderado,,,,,1.0344,0.1940,0.2548,0.9676,,,,
Consumer Electronics Group S.A.S.,C – Industria manufacturera,Grande,2023,1.2300,0.7500,0.0300,3.6900,18.5600,0.0800,2.8500,6.4600,32.5100,9.3400,4.2400,9.5500,157174.0900,125966.4200,31207.6700,240068.4400,10146.4100,22354.6200,27477.9900,,,,,Zona Segura,Perfil moderado,,,,,1.1469,0.5933,0.9558,0.2601,,,,
Efectivo Ltda,N – Actividades de servicios administrativos,Grande,2023,1.4600,1.4600,1.1900,9.8400,30.3200,-10.6900,3.4700,5.8400,17.9900,6.8400,6.7300,7.4900,399417.7700,269713.8000,129703.9700,350686.5100,23329.8100,23685.8200,122604.3600,,,,,Zona Segura,Perfil moderado,,,,,2.0136,0.2231,0.3985,0.5049,,,,
Urbanizadora Santa Fe de Bogota Urbansa S A,F – Construcción,Grande,2023,1.2500,0.4800,0.0900,30.1300,80.2900,7.3000,2.5100,3.1900,8.5000,6.1400,5.9000,6.3400,450914.2800,281696.8400,169217.4300,248098.1800,14390.7200,14982.9200,61166.5500,,,,,Zona Alerta,Perfil moderado,,,,,0.8899,0.7215,0.2233,0.6307,,,,
Carnes Casablanca S.A.S.,C – Industria manufacturera,Grande,2023,1.3600,0.8700,0.0300,33.7200,151.0400,1.8600,1.5500,0.7400,3.2900,6.4600,0.3200,7.6500,114414.9600,88867.1200,25547.8300,261976.7700,840.6400,16782.0100,20136.5400,,,,,Zona Alerta,Perfil moderado,,,,,1.1545,-0.1163,0.9857,0.3019,,,,
C.I. Toyota Tsusho de Colombia S.A.S.,G – Comercio al por mayor y menor,Grande,2023,0.9400,0.8300,0.1100,1.6300,3.9500,0.3000,-0.8700,-13.6000,-33.0500,-3.2800,-2.9200,-3.2800,59825.1100,35218.8000,24606.3200,279527.3600,-8133.3900,-9151.2200,-1965.8500,,,,,Zona Quiebra,Perfil moderado,,,,,-0.2156,-0.2482,-1.0279,0.7336,,,,
Compania Internacional de Alimentos S.A.S.,C – Industria manufacturera,Grande,2023,0.8600,0.5100,0.0400,28.8000,72.6400,1.5600,1.4900,5.1200,12.9100,12.7600,4.5200,15.5600,233708.4800,141047.5700,92660.9100,266393.7900,11962.1700,33772.8700,-11076.4200,,,,,Zona Alerta,Perfil moderado,,,,,-0.3109,0.6255,0.9711,0.6898,,,,
Coffeeworld S.A.S.,G – Comercio al por mayor y menor,Grande,2023,1.0100,0.8300,0.0000,0.0000,0.0000,0.0000,0.7900,0.8800,5.0000,0.3100,0.0400,0.3400,10350.9800,8536.3000,1814.6800,250973.7300,90.7200,786.1500,85.7300,,,,,Zona Quiebra,Perfil moderado,,,,,0.0543,0.2197,0.5104,0.2232,,,,
Ntt Data Colombia S. A. S.,J – Información y comunicaciones,Grande,2023,1.4900,1.4900,0.0600,17.7300,51.9700,1.5500,2.0000,0.6600,1.9300,3.2900,0.3800,5.3100,136955.4300,90231.3400,46724.0900,239109.3600,902.6200,7855.2100,40057.3700,,,,,Zona Alerta,Perfil moderado,,,,,1.9187,-0.6898,0.3854,0.5437,,,,
Hpe Financial Services (Colombia) Llc Sucursal Colombia,N – Actividades de servicios administrativos,Grande,2023,0.2400,0.2400,0.0800,77.9100,599.4900,2.1800,-3.0800,3.1300,24.1200,30.0100,8.5100,88.7300,691900.8100,601979.0100,89921.8000,255479.4300,21684.6300,76474.3700,-452111.8200,,,,,Zona Quiebra,Perfil moderado,,,,,-4.2865,0.4236,0.7427,0.1568,,,,
Amarey Nova Medical S A,G – Comercio al por mayor y menor,Grande,2023,1.3400,0.9900,0.2300,29.2600,92.6100,1.3100,2.3600,3.1700,10.0400,6.7300,2.4300,8.7700,190025.0400,129980.4400,60044.6000,254714.8300,6029.9800,16715.3700,40955.2400,,,,,Zona Segura,Perfil moderado,,,,,1.4138,0.2007,0.5911,0.4850,,,,
Legrand Colombia S.A.,C – Industria manufacturera,Grande,2023,2.3200,1.6900,0.6900,0.8300,1.3200,-0.9400,7.1800,14.6900,23.3800,17.8000,11.3000,19.3700,183854.8400,68306.2400,115548.6000,239149.0100,27011.1000,42575.2500,86916.2800,,,,,Zona Segura,Alto desempeño,,,,,3.1012,0.7447,1.5561,1.7762,,,,
Concentrix Experts Colombia Sas,C – Industria manufacturera,Grande,2023,0.5100,0.5100,0.0000,1.2800,25.2400,0.1100,-1.7500,-1.9800,-39.0700,0.4100,-1.8200,9.2400,243267.9800,230915.5600,12352.4300,266616.0700,-4826.2500,1081.3500,-65166.7900,,,,,Zona Quiebra,Perfil moderado,,,,,-1.7573,0.0231,0.0299,0.0562,,,,
Dasa de Colombia S.A.S,C – Industria manufacturera,Grande,2023,2.6400,2.4100,0.0000,0.0100,0.0100,0.0000,8.0700,19.2200,28.7500,17.4400,13.7700,18.1300,276126.2300,91591.5100,184534.7200,384016.8800,53061.0200,67228.1700,149961.1600,,,,,Zona Segura,Alto desempeño,,,,,3.5627,0.7999,1.6361,2.1155,,,,
Green S.A.S.,G – Comercio al por mayor y menor,Grande,2023,1.0900,0.7300,0.2100,37.1300,75.1200,2.1100,2.1000,5.7800,11.6800,5.9700,2.2800,6.3400,78351.2000,39621.1200,38730.0700,202011.4300,4525.0600,11841.3300,1129.6900,,,,,Zona Alerta,Perfil moderado,,,,,0.0946,0.4373,1.0156,1.0264,,,,
Firmenich S.A.,C – Industria manufacturera,Grande,2023,1.7200,1.0900,0.0200,18.2100,73.0400,1.1200,4.0700,6.2900,25.2400,8.3600,3.9600,9.7700,167869.1700,126020.9400,41848.2200,266550.0200,10563.6700,22284.5400,59047.6600,,,,,Zona Segura,Perfil moderado,,,,,2.3075,0.7457,0.8921,0.3487,,,,
Becton Dickinson de Colombia Ltda,G – Comercio al por mayor y menor,Grande,2023,1.6200,0.9700,0.0400,1.5900,2.8400,-0.0100,4.6800,6.5200,11.6400,8.2600,4.7300,15.5800,187677.1000,82686.5800,104990.5200,276666.3100,12226.5900,21375.0200,49874.3000,,,,,Zona Segura,Perfil moderado,,,,,1.7433,0.8505,0.7654,1.3332,,,,
Outsourcing Servicios Informaticos S.A.S Bic,C – Industria manufacturera,Grande,2023,1.6900,1.6900,0.1900,9.1900,19.1700,-0.0200,4.4100,-2.3000,-4.7900,0.4700,-0.7200,2.6900,84425.3200,43959.5400,40465.7800,271159.2400,-1937.8200,1272.0700,28022.4800,,,,,Zona Segura,Perfil moderado,,,,,2.1774,1.4359,0.1013,0.9665,,,,
Laboratorios De Cosmeticos Vogue Sas,C – Industria manufacturera,Grande,2023,0.7400,0.2700,0.0100,54.7400,153.7800,9.7900,-0.0400,-4.3300,-12.1700,4.3600,-6.7400,8.5400,327648.4100,211009.0100,116639.4000,230919.7400,-14200.1900,9189.2500,-55321.6200,,,,,Zona Quiebra,Perfil moderado,,,,,-1.1076,0.6858,0.1885,0.5804,,,,
John Uribe e Hijos S.A.,G – Comercio al por mayor y menor,Grande,2023,1.6000,1.2000,0.0200,54.3900,215.9000,8.5800,2.7900,0.3300,1.3200,3.9700,0.2800,5.2400,207022.5100,154868.9000,52153.6100,247722.0400,687.7700,9726.5300,67532.5400,,,,,Zona Segura,Perfil moderado,,,,,2.1399,0.1220,0.3157,0.3536,,,,
Ferreteria Andres Martinez Sas,G – Comercio al por mayor y menor,Grande,2023,1.2900,0.7400,0.0700,18.7400,45.1600,1.9900,2.6600,1.3000,3.1400,2.9900,0.5900,3.5500,114979.0900,67258.9000,47720.1800,256375.9500,1500.1600,7635.4700,15203.2600,,,,,Zona Segura,Perfil moderado,,,,,0.8674,0.9024,0.4463,0.7450,,,,
Gtm Colombia Sa,G – Comercio al por mayor y menor,Grande,2023,2.6200,1.8900,0.2700,45.3800,176.2400,7.3300,4.3300,-0.5200,-2.0100,0.9000,-0.2800,2.6600,169142.4700,125587.4500,43555.0200,326469.1300,-873.8500,2857.2600,88931.4700,,,,,Zona Segura,Perfil moderado,,,,,3.4491,0.3458,0.1135,0.3642,,,,
Surtifamiliar S A,C – Industria manufacturera,Grande,2023,1.2100,0.3200,0.2400,17.3400,41.5200,0.4100,2.7000,4.4800,10.7200,2.9100,1.1400,3.7100,61830.4800,35999.8500,25830.6400,244382.3200,2769.5300,7096.9400,5991.5300,,,,,Zona Segura,Perfil moderado,,,,,0.6357,0.8131,0.7713,0.7534,,,,
Sun Chemical Colombia S.A.S.,C – Industria manufacturera,Grande,2023,2.9800,1.6900,0.3300,27.6400,57.3100,2.2700,4.2600,-0.6800,-1.4000,6.2000,-0.5800,7.5800,219293.2200,113509.9000,105783.3200,257015.3000,-1485.6900,15884.0200,99483.1500,,,,,Zona Segura,Perfil moderado,,,,,2.9760,0.2502,0.4867,0.9785,,,,
Lucta Grancolombiana S A S,C – Industria manufacturera,Grande,2023,4.1500,2.5700,0.4600,0.3700,0.4700,-0.5600,11.5000,8.4100,10.5200,12.6300,7.7100,14.0400,214717.9900,43177.5600,171540.4300,228414.5900,18048.9400,29556.4700,132123.9300,,,,,Zona Segura,Alto desempeño,,,,,4.0366,2.3583,0.9250,4.1716,,,,
Plus+Energy S.A.S.,G – Comercio al por mayor y menor,Grande,2023,1.1600,0.8200,0.1900,35.2600,74.6400,3.5100,1.1900,0.0400,0.0700,2.7900,0.0100,3.1100,83101.8900,43841.7800,39260.1100,235312.9000,29.0000,6564.6400,3091.5100,,,,,Zona Alerta,Perfil moderado,,,,,0.2440,-0.0360,0.5308,0.9403,,,,
Branch Of Microsoft Colombia Inc,P – Educación,Grande,2023,1.2100,1.2100,0.6300,0.0000,0.0000,-8.1400,-0.2200,-12.7200,-50.4200,-0.2700,-6.9600,3.0000,129410.5300,96774.1700,32636.3600,222202.9100,-16454.9900,-637.0900,19682.0500,,,,,Zona Quiebra,Perfil moderado,,,,,0.9977,-1.5355,-0.0331,0.3541,,,,
C.I. Fortia Minerals S.A.S.,G – Comercio al por mayor y menor,Grande,2023,2.0100,1.1300,0.0300,25.0600,238.5600,-3.0000,2.5800,-2.6800,-25.4900,-4.1800,-1.0100,-3.0200,125638.3900,112440.2600,13198.1300,335979.3200,-3363.6500,-13912.0400,49392.6900,,,,,Zona Alerta,Perfil moderado,,,,,2.5790,-0.1390,-0.7441,0.1232,,,,
Hospital De Alta Complejidad Del Putumayo Sas Zomac,N – Actividades de servicios administrativos,Grande,2023,3.4900,3.3800,0.2300,11.4300,14.6200,0.2000,10.4600,27.5600,35.2700,48.8400,43.0900,50.1100,239294.0000,52298.0400,186996.0000,153068.0000,65950.5800,74762.6500,129548.4900,,,,,Zona Segura,Alto desempeño,,,,,3.5514,1.2991,2.0995,3.7544,,,,
Oncomedica S.A.S,Q – Salud y servicios sociales,Grande,2023,1.4200,1.3600,0.0800,14.4300,24.9700,1.0300,4.8400,10.7500,18.6000,18.4900,20.7900,21.1800,482274.0000,203648.0000,278626.0000,249284.0000,51826.9100,46100.4100,86227.0000,,,,,Zona Segura,Alto desempeño,,,,,1.1729,1.2635,0.6424,1.4366,,,,
Newell Brands de Colombia Sas,G – Comercio al por mayor y menor,Grande,2023,4.6800,3.1300,1.1300,1.2100,1.5300,-3.3800,11.5600,3.9500,5.0000,3.9800,2.6800,4.2500,201013.2200,42216.3500,158796.8800,296105.8500,7939.2800,11792.2800,146960.3000,,,,,Zona Segura,Alto desempeño,,,,,4.7960,2.3750,0.3942,3.9496,,,,
Beiersdorf S A,G – Comercio al por mayor y menor,Grande,2023,1.4400,1.0700,0.2000,3.4600,10.6000,-2.7200,1.8500,-12.0500,-36.9500,1.4600,-6.8600,2.0100,129172.4100,87031.5000,42140.9100,229551.6400,-15569.2500,3306.7300,37017.3500,,,,,Zona Segura,Alto desempeño,,,,,1.8799,0.1797,0.1720,0.5084,,,,
Autotropical S.A.S.,G – Comercio al por mayor y menor,Grande,2023,1.5500,1.0900,0.3400,32.9300,67.0100,1.0500,4.4300,7.2300,14.7100,6.8400,2.7100,7.0700,99031.0200,50365.0000,48666.0300,264562.5700,7159.8900,18083.5900,21159.0300,,,,,Zona Segura,Perfil moderado,,,,,1.4016,1.2341,1.2271,1.0146,,,,
Expofaro S.A.S.,C – Industria manufacturera,Grande,2023,1.1800,0.8100,0.1400,33.7300,87.1200,2.2200,2.2200,-1.9500,-5.0300,9.7100,-1.9200,11.6700,207272.7900,127013.8500,80258.9400,219186.9200,-4035.0100,20451.4200,19306.2200,,,,,Zona Segura,Perfil moderado,,,,,0.6110,0.8271,0.6631,0.6635,,,,
Tuyomotor S.A.S.,G – Comercio al por mayor y menor,Grande,2023,1.1700,0.8500,0.1200,38.5800,110.7500,2.2200,2.5500,4.8300,13.8800,4.8800,1.7300,5.0600,87261.4000,56867.0900,30394.3100,244431.5300,4218.6300,11903.4400,9184.8300,,,,,Zona Segura,Perfil moderado,,,,,0.6905,0.7572,0.9167,0.5612,,,,
Sistemas de Informacion Empresarial S.A.S.,G – Comercio al por mayor y menor,Grande,2023,1.8300,1.8100,0.6500,0.5800,1.2000,-0.4300,7.5300,30.8000,63.5800,23.3400,15.0300,24.4700,101461.8000,52313.1700,49148.6300,209526.5100,31246.5100,48520.0600,28157.5800,,,,,Zona Segura,Alto desempeño,,,,,1.8205,1.5143,3.2136,0.9865,,,,
Friomix del Cauca S.A.S.,C – Industria manufacturera,Grande,2023,2.6600,2.0200,0.0700,0.0000,0.0000,-0.2200,8.1600,6.7600,10.4600,9.2100,6.0300,9.9200,203920.4000,72293.4900,131626.9100,239162.2900,13775.2900,21032.9400,114306.3100,,,,,Zona Segura,Perfil moderado,,,,,3.6772,1.8800,0.6931,1.9118,,,,
Agaval S.A.,G – Comercio al por mayor y menor,Grande,2023,2.1200,1.7800,0.0900,35.9100,90.6000,3.3300,4.6900,1.9700,4.9600,7.1100,1.7100,8.3800,182649.6100,110244.3200,72405.2900,217065.5200,3593.6600,14909.5600,87262.6000,,,,,Zona Segura,Perfil moderado,,,,,3.1341,0.6729,0.5485,0.6896,,,,
Grupo San Pio S.A.S.,C – Industria manufacturera,Grande,2023,0.9300,0.3600,0.0200,14.2400,52.4700,1.0600,1.1300,4.8300,17.8100,2.8900,1.6900,4.2300,78891.0100,57485.3000,21405.7100,227030.8800,3812.9700,6528.3000,-3645.8800,,,,,Zona Alerta,Perfil moderado,,,,,-0.3032,0.4835,0.5561,0.3910,,,,
Dumian Medical S.A.S.,F – Construcción,Grande,2023,1.7000,1.5700,0.0600,0.4800,0.8200,-1.0900,4.8900,1.9500,3.3700,4.1000,4.5400,4.3000,621552.0000,261439.0000,360113.0000,267018.0000,12129.5900,10951.4100,181972.9400,,,,,Zona Segura,Perfil moderado,,,,,1.9206,1.2995,0.1184,1.4463,,,,
Inversiones Vaquita Express S.A.S.,C – Industria manufacturera,Grande,2023,1.2400,0.4400,0.0800,15.1500,44.2200,0.4100,3.4200,8.6000,25.0900,5.0000,1.8300,5.8400,50938.6900,33489.6300,17449.0600,239896.1200,4378.5100,11976.7200,6177.0900,,,,,Zona Segura,Perfil moderado,,,,,0.7955,1.0761,1.5800,0.5471,,,,
Drinks de Colombia S.A.S.,C – Industria manufacturera,Grande,2023,0.8200,0.4300,0.0800,34.4400,87.4500,1.1100,2.2600,9.3800,23.8200,13.0900,5.1100,15.4800,131506.8500,79714.7900,51792.0600,241370.1000,12338.8400,31594.4700,-7936.8600,,,,,Zona Segura,Perfil moderado,,,,,-0.3959,0.9646,1.6145,0.6822,,,,
Concentrix Cvg Customer Management Colombia S.A.S.,J – Información y comunicaciones,Grande,2023,1.7400,1.7400,0.0500,32.2400,-1291.2300,1.4900,1.1700,4.4500,-178.1000,5.0200,3.7400,17.7900,266286.9900,272936.4300,-6649.4400,317526.8000,11842.8400,15861.8900,28992.5400,,,,,Zona Quiebra,Perfil moderado,,,,,0.7142,-0.1091,0.4003,-0.0256,,,,
Lacteos Betania S.A,C – Industria manufacturera,Grande,2023,1.2700,0.8700,0.1600,30.4800,104.2400,1.2200,2.2800,0.3000,1.0300,1.8800,0.0600,3.1700,48853.4100,34566.6000,14286.8100,268574.2300,146.7000,5012.3000,7977.3900,,,,,Zona Segura,Perfil moderado,,,,,1.0712,0.6891,0.6895,0.4340,,,,
Rockwell Automation Colombia S.A,G – Comercio al por mayor y menor,Grande,2023,1.1300,0.8600,0.0900,0.0000,0.0000,-1.1300,1.6300,1.2600,6.3100,5.3300,1.1900,5.6800,165365.2200,132252.4000,33112.8200,218156.5800,2089.4700,9342.1500,17020.2600,,,,,Zona Alerta,Perfil moderado,,,,,0.6752,0.3142,0.3796,0.2629,,,,
Arme S.A.,C – Industria manufacturera,Grande,2023,2.0600,1.1300,0.0500,16.6200,28.8000,1.1800,5.8500,8.1600,14.1500,5.5600,4.7000,7.3200,146055.2800,61781.1900,84274.0900,255807.1100,11923.9900,14086.9300,52021.2500,,,,,Zona Segura,Perfil moderado,,,,,2.3365,1.3808,0.6481,1.4323,,,,
Comercial Allan S A S,C – Industria manufacturera,Grande,2023,1.3100,0.8700,0.0800,39.9200,236.1400,5.3200,1.1200,0.3900,2.3000,0.1400,0.2500,4.4200,160532.0100,133391.7000,27140.3000,259850.5500,624.0700,342.1600,19278.8100,,,,,Zona Alerta,Perfil moderado,,,,,0.7878,0.1018,0.0143,0.2136,,,,
Embotelladora de Bebidas del Tolima S.A.S.,C – Industria manufacturera,Grande,2023,0.7000,0.3800,0.0100,10.4700,31.0200,0.3000,2.2100,13.5900,40.2700,16.9200,7.6300,18.7800,138657.0100,91861.4600,46795.5400,247556.9700,18846.3300,41768.4400,-17587.7500,,,,,Zona Segura,Perfil moderado,,,,,-0.8321,0.9351,2.0243,0.5349,,,,
Servimed Institucion Prestadora de Servicios de Salud S.A. Servimed I.P.S. S.A.,Q – Salud y servicios sociales,Grande,2023,1.6300,1.6200,0.0000,13.4500,32.3100,0.5400,5.4000,17.0300,40.9300,9.4000,6.6600,9.5400,101491.0000,59257.0600,42233.4900,259472.0000,17285.9500,24389.0200,34654.2400,,,,,Zona Segura,Perfil moderado,,,,,2.2399,0.6539,1.6149,0.7484,,,,
Ge Healthcare Colombia S.A.S.,G – Comercio al por mayor y menor,Grande,2023,1.7100,1.5200,0.7800,21.6100,51.1200,-1.2300,4.5300,5.5600,13.1500,12.9600,5.5600,14.8800,279467.4600,161355.5900,118111.8700,278547.6800,15527.8800,36181.4300,101362.0800,,,,,Zona Segura,Perfil moderado,,,,,2.3793,0.7007,0.8700,0.7686,,,,
Clinica de Urgencias Bucaramanga S.A.S,Q – Salud y servicios sociales,Grande,2023,1.4500,1.4100,0.0300,14.1700,25.3000,0.7200,3.7900,10.8400,19.3600,8.9700,6.4200,10.5000,151048.0000,66414.3900,84633.1800,255342.0000,16381.7200,22908.2800,29400.9900,,,,,Zona Segura,Perfil moderado,,,,,1.2769,0.2134,1.0192,1.3380,,,,
Global Wine & Spirits S.A.S,G – Comercio al por mayor y menor,Grande,2023,1.2100,0.7100,0.0100,54.0200,295.2000,-44.4700,1.6400,-0.3400,-1.8600,-1.7900,-0.4000,-1.4100,302039.0900,246765.0600,55274.0300,262498.4100,-1025.4100,-4583.9900,50064.1400,,,,,Zona Alerta,Perfil moderado,,,,,1.0873,0.2953,-0.1020,0.2352,,,,
Automotores Comerciales Autocom S.A.S,G – Comercio al por mayor y menor,Grande,2023,1.3300,0.6900,0.0800,29.2400,869.0600,4.4500,0.4300,-4.6200,-137.4200,1.7500,-3.5200,3.9400,201784.1800,194994.7100,6789.4700,267563.6300,-9329.7300,4640.2600,48873.8400,,,,,Zona Quiebra,Perfil moderado,,,,,1.5889,-0.8864,0.1545,0.0366,,,,
Laboratorio Profesional Farmaceutico S.A.S.,C – Industria manufacturera,Grande,2023,1.8300,0.8200,0.0600,41.3100,172.1900,4.0100,3.3900,2.5400,10.5900,7.5300,2.4100,9.3000,218479.0000,166065.4100,52413.5900,231959.0900,5552.3300,17344.8200,66601.0100,,,,,Zona Segura,Perfil moderado,,,,,1.9997,0.6717,0.5335,0.3314,,,,
Grupo Defa Sas,G – Comercio al por mayor y menor,Grande,2023,1.5200,0.3300,0.0600,0.0000,0.0000,-0.5300,2.8500,3.9000,40.3800,3.5500,2.2300,3.6800,98069.2800,88602.1900,9467.0900,176411.3400,3823.1600,6092.1600,30999.2300,,,,,Zona Segura,Perfil moderado,,,,,2.0736,0.2448,0.4175,0.1122,,,,
Comercializadora Internacional C.I. Piscicola Newyork S.A.,A – Agricultura y ganadería,Grande,2023,1.2100,1.0300,0.0500,23.6200,64.5600,2.7300,2.4800,4.7700,13.0300,2.7500,2.4300,4.0700,148298.1100,94042.8700,54255.2500,305599.0200,7070.1700,7997.8300,11067.1100,,,,,Zona Alerta,Perfil moderado,,,,,0.4896,1.0272,0.3624,0.6058,,,,
Comercializadora Internacional Atlanticmetals S.A.S.,G – Comercio al por mayor y menor,Grande,2023,1.3100,0.7300,0.0400,56.5100,830.9800,4.0600,1.7800,1.4400,21.1700,0.9600,0.1400,1.2500,22649.2500,21109.0000,1540.2500,241219.6000,326.1400,2316.6100,4656.1200,,,,,Zona Alerta,Perfil moderado,,,,,1.3486,0.0469,0.6873,0.0766,,,,
