Compania,Seccion_CIIU,Clasificacion_Tamaño,Año,Razon_Liquidez,Prueba_Acida,Razon_Efectivo,Deuda_Activos_pct,Deuda_Capital_pct,Deuda_Neta_EBITDA,ZScore_Altman,ROA_pct,ROE_pct,Margen_Operacional_pct,Margen_Neto_pct,Margen_EBITDA_pct,Activos_Totales,Pasivos_Totales,Patrimonio_Total,Ingresos_Operativos,Utilidad_Neta,EBIT,Capital_Trabajo,Contrib_X1_2021,Contrib_X2_2021,Contrib_X3_2021,Contrib_X4_2021,Zona_ZScore,Cluster_Label,Contrib_X1_2022,Contrib_X2_2022,Contrib_X3_2022,Contrib_X4_2022,Contrib_X1_2023,Contrib_X2_2023,Contrib_X3_2023,Contrib_X4_2023,Contrib_X1_2024,Contrib_X2_2024,Contrib_X3_2024,Contrib_X4_2024
"Frontera Energy Colombia Corp., Sucursal Colombia",B – Explotación de minas y canteras,Grande,2021,0.7000,0.5900,0.0700,0.4100,0.5400,-0.0500,4.4200,43.4500,56.8700,15.6300,97.0500,33.3300,7035537.8600,1660784.3300,5374753.5200,3106166.8200,3056747.7600,492185.7200,-361375.1700,-0.3369,-1.5503,0.4701,3.3981,Zona Alerta,Alto desempeño,,,,,,,,,,,,
Cencosud Colombia S.A.,G – Comercio al por mayor y menor,Grande,2021,1.1700,0.7000,0.4500,1.6200,2.4700,-1.6200,2.0000,0.4400,0.6700,3.8400,0.6400,6.8700,6082421.1300,2095617.9000,3986803.2300,4149192.0100,26608.9000,159214.6000,213704.4400,0.2305,-0.2390,0.1759,1.9976,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Cooperativa Colanta,C – Industria manufacturera,Grande,2021,0.6600,0.2600,0.0200,32.0600,75.8500,11.5400,-0.4100,0.1600,0.3800,0.8700,0.0900,1.4400,1553309.5500,896731.5500,656578.0000,2912991.3100,2497.3200,25113.7000,-280451.7800,-1.1844,-0.0021,0.1086,0.7688,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Cementos Argos S.A.,C – Industria manufacturera,Grande,2021,0.8600,0.5600,0.1400,36.0800,69.2000,3.0800,1.5400,2.6800,5.1300,12.4000,5.3400,21.7800,19569802.8000,9364997.5500,10204805.2500,10153130.8000,523935.3700,1216889.9700,-494357.2000,-0.1657,0.2830,0.4179,1.1442,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Automotores Toyota Colombia S A S,G – Comercio al por mayor y menor,Grande,2021,2.5800,0.9000,0.8500,0.0000,0.0000,-0.6300,8.4100,33.2100,82.7600,8.4600,6.0800,8.5900,397083.1800,237748.4300,159334.7500,2170311.7200,131862.1200,183500.5000,215849.4700,3.5659,1.0826,3.1055,0.7037,Zona Segura,Alto desempeño,,,,,,,,,,,,
Distracom S.A.,G – Comercio al por mayor y menor,Grande,2021,2.9900,2.4200,0.6800,20.2400,29.3700,1.2600,5.2100,8.2300,11.9400,5.7600,4.5000,6.9300,1225876.6500,381104.1400,844772.5100,2247591.4800,100907.2400,129093.8500,153541.0100,0.8216,1.4886,0.7077,2.3275,Zona Segura,Perfil moderado,,,,,,,,,,,,
Colombina S.A.,C – Industria manufacturera,Grande,2021,1.1000,0.5200,0.0600,47.8900,306.5900,3.7400,0.7800,3.1200,19.9800,6.5800,2.7000,10.6100,1872770.2900,1580248.6700,292521.6300,2189461.9500,58430.2700,142221.1900,59209.9300,0.2074,0.0615,0.5103,0.1944,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Samsung Electronics Colombia S A,G – Comercio al por mayor y menor,Grande,2021,1.0900,0.9300,0.1700,0.4400,4.1500,-3.9400,1.1700,0.8400,7.9300,1.9500,0.4600,2.0600,2069668.1800,1851610.9400,218057.2500,3735641.8600,17287.9600,72863.8100,166869.9200,0.5289,0.2892,0.2366,0.1237,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Italcol S.A.,C – Industria manufacturera,Grande,2021,1.1000,0.4900,0.0200,0.0100,0.0400,-0.0600,2.0700,8.1300,21.1200,3.7000,2.5900,4.7200,822043.8000,505745.7400,316298.0600,2593555.7700,66808.4300,95440.6800,48107.3300,0.3839,0.2649,0.7802,0.6567,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Cooperativa Nacional de Droguistas Detallistas,G – Comercio al por mayor y menor,Grande,2021,1.4400,0.8500,0.2000,0.0000,0.0000,-1.9500,2.6800,2.5100,4.7000,1.2300,1.0500,1.9100,1050757.3100,489966.9600,560790.3600,2541371.0000,26357.6400,30930.0700,209000.3000,1.3048,0.0000,0.1978,1.2018,Zona Segura,Perfil moderado,,,,,,,,,,,,
Gaseosas Lux S.A.S.,C – Industria manufacturera,Grande,2021,0.4200,0.2700,0.1200,4.3400,10.3900,-0.0800,0.3500,6.3000,15.0800,8.8000,5.6700,11.8000,1782046.6500,1037838.7000,744207.9500,2005809.3300,112248.4200,174328.2200,-453894.8400,-1.6709,0.6719,0.6574,0.7529,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Colombia Movil S.A.S,J – Información y comunicaciones,Grande,2021,0.6100,0.5900,0.3200,34.6500,9457.9600,1.9500,-2.5600,-14.4200,-3934.8200,-0.0500,-27.8100,22.9300,4429388.7000,4413161.8600,16226.8400,2315221.6100,-638496.6700,-1245.3100,-627964.8300,-0.9300,-1.1241,-0.0019,0.0039,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Continental Gold Limited Sucursal Colombia,B – Explotación de minas y canteras,Grande,2021,1.1100,0.6000,0.1400,4.3200,11.6800,0.1400,1.1100,3.2600,8.8200,36.1000,11.1000,54.7200,4604747.7700,2900115.8600,1704631.9100,1356138.6500,150270.9300,488722.7600,76588.3700,0.1091,-0.0246,0.7132,0.6172,Zona Alerta,Alto desempeño,,,,,,,,,,,,
